track_name, artist_name, source, source_url,
Happy Together, The Turtles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
My Guy,Mary Wells, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Chapel of Love, The Dixie Cups, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I Will Follow Him, Little Peggy March, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
He’s So Fine, The Chiffons, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Up on the Roof, The Drifters, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Will You Love Me Tomorrow, Carole King, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Stay, Maurice Williams and the Zodiacs, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Save the Last Dance for Me, The Drifters, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Unchained Melody, The Righteous Brothers, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Crazy Little Thing Called Love, Queen, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Sherry, The Four Seasons, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
To Sir With Love, Lulu, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Killing Me Softly With His Song, Roberta Flack, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You’ve Got a Frien, Carole King, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
All I Have to Do Is Dream, The Everly Brothers, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Bridge Over Troubled Water, Simon & Garfunkel, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Best of My Love, The Emotions, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I Can’t Stop Loving You, Ray Charles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Michelle, The Beatles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Are You Lonesome Tonight?, Elvis Presley, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
The First Time Ever I Saw Your Face, Roberta Flack, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
In My Life, The Beatles, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
You Are So Beautiful, Joe Cocker, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I Just Called to Say I Love You, Stevie Wonder, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
Wonderful Tonight, Eric Clapton, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
I’ll Be There, The Jackson 5, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
My Girl, The Temptations, Stereogum, https://www.stereogum.com/4607/the_100_greatest_love_songs_according_to_the_ny_da/franchises/list/,
